source,target,salience
10,74,0.005050505050505051
10,305,0.0707070707070707
10,12,0.005050505050505051
10,65,0.010101010101010102
10,14,0.020202020202020204
10,63,0.005050505050505051
10,197,0.020202020202020204
10,223,0.0707070707070707
10,303,0.005050505050505051
10,109,0.010101010101010102
136,186,0.25252525252525254
136,170,0.07575757575757576
136,172,0.005050505050505051
136,7,0.005050505050505051
136,134,0.005050505050505051
136,38,0.005050505050505051
136,178,0.005050505050505051
136,191,0.015151515151515152
136,28,0.005050505050505051
136,177,0.08585858585858586
136,138,0.005050505050505051
136,314,0.0707070707070707
136,102,0.005050505050505051
136,111,0.005050505050505051
136,106,0.005050505050505051
16,67,0.08585858585858586
16,55,0.010101010101010102
16,17,0.03535353535353535
16,27,0.005050505050505051
16,41,0.06060606060606061
16,19,0.005050505050505051
16,122,0.005050505050505051
16,45,0.010101010101010102
16,158,0.010101010101010102
16,34,0.015151515151515152
16,106,0.005050505050505051
186,67,0.010101010101010102
186,135,0.08080808080808081
186,170,0.03535353535353535
186,172,0.005050505050505051
186,149,0.020202020202020204
186,160,0.005050505050505051
186,183,0.005050505050505051
186,173,0.05555555555555555
186,168,0.005050505050505051
186,159,0.005050505050505051
186,175,0.010101010101010102
186,182,0.005050505050505051
186,161,0.020202020202020204
186,185,0.005050505050505051
186,178,0.005050505050505051
186,157,0.005050505050505051
186,187,0.010101010101010102
186,143,0.010101010101010102
186,184,0.020202020202020204
186,189,0.005050505050505051
186,313,0.030303030303030304
186,155,0.010101010101010102
186,181,0.050505050505050504
186,180,0.045454545454545456
186,194,0.005050505050505051
186,124,0.005050505050505051
186,156,0.005050505050505051
186,188,0.005050505050505051
186,199,0.005050505050505051
310,60,0.050505050505050504
310,71,0.020202020202020204
310,41,0.5606060606060606
310,66,0.2222222222222222
310,305,0.005050505050505051
70,15,0.15656565656565657
70,60,0.32323232323232326
70,71,0.015151515151515152
70,68,0.005050505050505051
70,83,0.005050505050505051
70,50,0.030303030303030304
70,66,0.32323232323232326
70,311,0.005050505050505051
70,74,0.010101010101010102
70,12,0.025252525252525252
70,65,0.09595959595959595
319,36,0.11616161616161616
319,60,0.3888888888888889
319,71,0.015151515151515152
319,19,0.03535353535353535
319,191,0.10101010101010101
319,66,0.30303030303030304
319,301,0.015151515151515152
319,80,0.005050505050505051
319,303,0.005050505050505051
319,115,0.005050505050505051
15,67,0.04040404040404041
15,68,0.005050505050505051
15,73,0.025252525252525252
15,74,0.030303030303030304
15,48,0.09595959595959595
15,14,0.010101010101010102
15,78,0.050505050505050504
15,77,0.005050505050505051
15,75,0.015151515151515152
15,46,0.010101010101010102
15,80,0.005050505050505051
15,26,0.005050505050505051
15,115,0.005050505050505051
15,106,0.005050505050505051
162,172,0.005050505050505051
162,160,0.005050505050505051
162,120,0.005050505050505051
162,161,0.04040404040404041
162,197,0.005050505050505051
162,165,0.9141414141414141
162,123,0.005050505050505051
162,196,0.010101010101010102
162,199,0.005050505050505051
67,68,0.015151515151515152
67,19,0.09595959595959595
67,66,0.07575757575757576
67,309,0.005050505050505051
67,88,0.005050505050505051
67,21,0.005050505050505051
67,62,0.020202020202020204
67,48,0.09595959595959595
67,12,0.015151515151515152
67,75,0.010101010101010102
67,46,0.010101010101010102
67,23,0.005050505050505051
67,63,0.005050505050505051
67,220,0.015151515151515152
55,141,0.010101010101010102
55,105,0.010101010101010102
55,225,0.005050505050505051
55,271,0.005050505050505051
40,41,0.045454545454545456
40,38,0.005050505050505051
40,178,0.07575757575757576
40,28,0.010101010101010102
135,170,0.030303030303030304
135,270,0.005050505050505051
135,27,0.010101010101010102
135,134,0.005050505050505051
135,159,0.005050505050505051
135,38,0.005050505050505051
135,50,0.010101010101010102
135,185,0.005050505050505051
135,178,0.005050505050505051
135,66,0.1111111111111111
135,158,0.010101010101010102
135,127,0.015151515151515152
135,131,0.005050505050505051
135,177,0.0707070707070707
135,138,0.005050505050505051
135,314,0.015151515151515152
135,109,0.005050505050505051
36,308,0.005050505050505051
36,38,0.005050505050505051
170,172,0.005050505050505051
170,270,0.005050505050505051
170,149,0.1111111111111111
170,190,0.005050505050505051
170,269,0.005050505050505051
170,173,0.015151515151515152
170,168,0.005050505050505051
170,159,0.005050505050505051
170,185,0.005050505050505051
170,191,0.030303030303030304
170,66,0.06060606060606061
170,158,0.010101010101010102
170,262,0.005050505050505051
170,109,0.005050505050505051
172,159,0.010101010101010102
172,41,0.46464646464646464
172,138,0.005050505050505051
60,68,0.005050505050505051
60,83,0.005050505050505051
60,64,0.005050505050505051
60,41,0.6313131313131313
60,50,0.025252525252525252
60,73,0.06565656565656566
60,66,0.08080808080808081
60,311,0.005050505050505051
60,69,0.005050505050505051
60,305,0.005050505050505051
60,63,0.005050505050505051
60,115,0.005050505050505051
270,149,0.11616161616161616
270,269,0.015151515151515152
270,173,0.015151515151515152
270,18,0.06060606060606061
270,178,0.08585858585858586
270,180,0.1414141414141414
270,321,0.005050505050505051
149,160,0.005050505050505051
149,161,0.11616161616161616
149,185,0.005050505050505051
149,155,0.015151515151515152
149,320,0.010101010101010102
149,153,0.010101010101010102
149,194,0.030303030303030304
149,156,0.010101010101010102
149,321,0.010101010101010102
149,165,0.06060606060606061
149,119,0.005050505050505051
71,81,0.005050505050505051
71,83,0.005050505050505051
71,19,0.030303030303030304
71,309,0.005050505050505051
71,74,0.16666666666666666
71,305,0.12626262626262627
71,12,0.010101010101010102
71,302,0.020202020202020204
71,303,0.36363636363636365
71,115,0.005050505050505051
126,160,0.005050505050505051
126,48,0.1111111111111111
126,181,0.6161616161616161
126,180,0.06565656565656566
126,141,0.010101010101010102
126,131,0.005050505050505051
126,128,0.05555555555555555
126,34,0.0707070707070707
126,130,0.005050505050505051
126,256,0.005050505050505051
126,265,0.005050505050505051
126,124,0.005050505050505051
126,129,0.010101010101010102
126,199,0.005050505050505051
126,151,0.005050505050505051
190,269,0.010101010101010102
190,178,0.08585858585858586
190,191,0.020202020202020204
190,187,0.010101010101010102
190,156,0.015151515151515152
190,188,0.010101010101010102
269,173,0.2727272727272727
269,178,0.015151515151515152
269,191,0.045454545454545456
269,187,0.010101010101010102
269,177,0.08585858585858586
269,188,0.005050505050505051
269,314,0.005050505050505051
269,111,0.010101010101010102
160,183,0.050505050505050504
160,173,0.010101010101010102
160,320,0.015151515151515152
160,197,0.005050505050505051
160,194,0.045454545454545456
160,152,0.005050505050505051
120,175,0.5404040404040404
120,121,0.06060606060606061
120,156,0.13131313131313133
120,188,0.005050505050505051
120,123,0.005050505050505051
183,161,0.0707070707070707
183,181,0.07575757575757576
183,180,0.04040404040404041
183,121,0.030303030303030304
183,141,0.030303030303030304
183,131,0.005050505050505051
183,105,0.005050505050505051
183,194,0.03535353535353535
183,275,0.04040404040404041
183,165,0.015151515151515152
183,102,0.005050505050505051
173,175,0.005050505050505051
173,185,0.005050505050505051
173,155,0.010101010101010102
173,156,0.010101010101010102
173,165,0.09595959595959595
173,199,0.005050505050505051
173,274,0.005050505050505051
173,119,0.005050505050505051
173,110,0.005050505050505051
7,17,0.010101010101010102
7,308,0.005050505050505051
17,159,0.010101010101010102
17,161,0.030303030303030304
17,19,0.09090909090909091
17,122,0.005050505050505051
17,66,0.025252525252525252
17,105,0.010101010101010102
17,106,0.005050505050505051
18,27,0.005050505050505051
18,19,0.24242424242424243
18,50,0.025252525252525252
81,301,0.005050505050505051
81,63,0.005050505050505051
81,318,0.010101010101010102
308,103,0.005050505050505051
27,168,0.005050505050505051
27,159,0.015151515151515152
27,29,0.005050505050505051
27,30,0.030303030303030304
27,143,0.010101010101010102
27,62,0.04040404040404041
